,layer_size,activiation,num_dense_layers,learning_rate,batch_size,optimiser,val_loss_1,val_loss_2,val_loss_3,epochs_1,epochs_2,epochs_3
0,16,tanh,4,0.0025,256,adam,0.0025299401457314,0.0026368295243595,0.0024877484605126,500,500,497
1,16,tanh,4,0.0025,256,sgd,0.1005579120116807,0.1170387757327536,0.094062301362325,500,500,500
2,16,tanh,4,0.0025,512,adam,0.0035655182289163,0.00576812157203,0.0035435176252094,500,500,500
3,16,tanh,4,0.0025,512,sgd,0.2424110803886052,0.2430722507416284,0.2066733075455737,500,500,500
4,16,tanh,4,0.000625,256,adam,0.0087520311190761,0.0106941164354358,0.0075745841692644,500,500,500
5,16,tanh,4,0.000625,256,sgd,0.8285586906129273,0.873419056969524,0.6884278178465908,500,500,500
6,16,tanh,4,0.000625,512,adam,0.0279021992052614,0.030071887639725,0.0097493172845241,500,500,500
7,16,tanh,4,0.000625,512,sgd,1.09279388179765,1.1356124965438026,1.0689802769249466,500,500,500
8,16,tanh,6,0.0025,256,adam,0.0016811444172864,0.0018294509147482,0.0013387906963656,471,490,500
9,16,tanh,6,0.0025,256,sgd,0.0748031445906366,0.0805371105273002,0.0683088405193433,500,500,500
10,16,tanh,6,0.0025,512,adam,0.0025594802790568,0.0028729443104374,0.0022852406136409,500,500,460
11,16,tanh,6,0.0025,512,sgd,0.1337825278591499,0.1630244508205051,0.0998924578217429,500,500,500
12,16,tanh,6,0.000625,256,adam,0.0064989577920075,0.0066020792582492,0.0044448320140579,500,500,500
13,16,tanh,6,0.000625,256,sgd,0.3949396439369214,0.4805765256528087,0.3716953174139117,500,500,500
14,16,tanh,6,0.000625,512,adam,0.0132451647092685,0.0151265334084923,0.0095286461495523,500,500,500
15,16,tanh,6,0.000625,512,sgd,0.9874499182085656,1.1507171536368173,0.7466776739736769,500,500,500
16,16,relu,4,0.0025,256,adam,0.0049865017520488,0.0052714903469449,0.0048444520885886,493,497,481
17,16,relu,4,0.0025,256,sgd,0.0554761299007925,0.0577451462999925,0.0536968303092599,500,500,500
18,16,relu,4,0.0025,512,adam,0.0061491406914417,0.0066192741689534,0.0057584722752357,487,441,499
19,16,relu,4,0.0025,512,sgd,0.0889655861764941,0.0908087365785458,0.0793716170937909,500,500,500
20,16,relu,4,0.000625,256,adam,0.0067578059388489,0.0088862816521711,0.0065991111515392,496,500,497
21,16,relu,4,0.000625,256,sgd,0.1814793144183165,0.1843397791780217,0.1555952774962712,500,500,500
22,16,relu,4,0.000625,512,adam,0.0103100624295926,0.0106856395547936,0.0095828781690915,500,500,499
23,16,relu,4,0.000625,512,sgd,0.7288909679010328,0.7522124717785096,0.5866023584548336,500,500,500
24,16,relu,6,0.0025,256,adam,0.0037761205294732,0.0039001526632154,0.0030729351166986,432,492,485
25,16,relu,6,0.0025,256,sgd,0.0592821064744238,0.0650608541316063,0.0591151322546672,500,500,500
26,16,relu,6,0.0025,512,adam,0.0049090129969861,0.0054327035539777,0.0046601786858354,370,500,489
27,16,relu,6,0.0025,512,sgd,0.1397623423503886,0.1400914236056056,0.1271145967309903,500,500,500
28,16,relu,6,0.000625,256,adam,0.0051141619620317,0.005119328306503,0.0044414217960323,500,499,474
29,16,relu,6,0.000625,256,sgd,0.2614290484485881,0.2994157389116599,0.2582992421347707,500,500,500
30,16,relu,6,0.000625,512,adam,0.0060753932497284,0.0079486356553067,0.0056910554731464,500,495,472
31,16,relu,6,0.000625,512,sgd,1.2354542627462324,1.5066345169572448,1.1988019191913242,500,500,500
32,16,sigmoid,4,0.0025,256,adam,0.0546288510217096,0.0557523639530084,0.0210949643486197,500,500,500
33,16,sigmoid,4,0.0025,256,sgd,1.6887059935215132,1.8713488021616485,1.4165798444117288,500,500,6
34,16,sigmoid,4,0.0025,512,adam,0.0604513750824486,0.0678686197722651,0.0594544899720109,500,500,500
35,16,sigmoid,4,0.0025,512,sgd,1.619706019349709,1.7240020852773172,1.4356223471383074,500,500,11
36,16,sigmoid,4,0.000625,256,adam,0.1240675946748225,0.1397213475040499,0.1142640003661483,500,500,500
37,16,sigmoid,4,0.000625,256,sgd,1.6309775883239694,1.7146140522666011,1.573302986116755,500,500,32
38,16,sigmoid,4,0.000625,512,adam,0.184041960265741,0.1935148450893271,0.1585417108582685,500,500,500
39,16,sigmoid,4,0.000625,512,sgd,1.5461709642561268,1.6352192823907008,1.5055268409601807,38,197,50
40,16,sigmoid,6,0.0025,256,adam,0.0509480286730447,0.0529603281130358,0.0497692033578993,500,500,500
41,16,sigmoid,6,0.0025,256,sgd,1.5508091654431486,1.6380829893107949,1.386777303295327,8,11,9
42,16,sigmoid,6,0.0025,512,adam,0.0566394281315246,0.060589867797104,0.053924886216015,500,500,500
43,16,sigmoid,6,0.0025,512,sgd,1.6016631366629042,1.7558339311629116,1.2894200130239957,20,500,14
44,16,sigmoid,6,0.000625,256,adam,0.1232833020318339,0.1240497029511078,0.1154011681282713,500,500,500
45,16,sigmoid,6,0.000625,256,sgd,1.587103417735826,1.8179882183060685,1.2873169539622025,34,261,27
46,16,sigmoid,6,0.000625,512,adam,0.3013419799497928,0.3294114096405802,0.2755296545341064,500,500,500
47,16,sigmoid,6,0.000625,512,sgd,1.5934228544352236,1.6148741867769767,1.4234015068936932,430,353,62
48,32,tanh,4,0.0025,256,adam,0.0009561886666855,0.0011638570837859,0.0009360552316793,471,453,492
49,32,tanh,4,0.0025,256,sgd,0.0675379104779462,0.0683595068078448,0.0660874176593188,500,500,500
50,32,tanh,4,0.0025,512,adam,0.0009995635377053,0.0010373631548335,0.0007726748733162,499,459,500
51,32,tanh,4,0.0025,512,sgd,0.1537220952235792,0.1586227763611826,0.1294041308017543,500,500,500
52,32,tanh,4,0.000625,256,adam,0.0012398836969111,0.0016159341145157,0.0009659588193444,500,500,500
53,32,tanh,4,0.000625,256,sgd,0.6545579915507964,0.7606669562483755,0.6216970553620729,500,500,500
54,32,tanh,4,0.000625,512,adam,0.0020001822656557,0.0024460227669125,0.0019837524718232,500,500,500
55,32,tanh,4,0.000625,512,sgd,1.0278559710524595,1.0904132886777291,0.9116509144515944,500,500,500
56,32,tanh,6,0.0025,256,adam,0.0010249449477198,0.0011076978701538,0.000732967291948,405,387,473
57,32,tanh,6,0.0025,256,sgd,0.0557032372169408,0.0558153839541942,0.0538655941539413,500,500,500
58,32,tanh,6,0.0025,512,adam,0.0008112176982801,0.0009251436511416,0.0006029664015177,438,484,457
59,32,tanh,6,0.0025,512,sgd,0.0750269300002425,0.0791366200972845,0.0706388284897847,500,500,500
60,32,tanh,6,0.000625,256,adam,0.001021217220714,0.0021107826197249,0.0006462670005742,500,500,500
61,32,tanh,6,0.000625,256,sgd,0.1644302197603028,0.176338270201154,0.1513763032557754,500,500,500
62,32,tanh,6,0.000625,512,adam,0.0011440079140349,0.0012748994574612,0.0010850317212176,500,500,500
63,32,tanh,6,0.000625,512,sgd,0.6422002362401632,0.7943071005600699,0.5741030019418787,500,500,500
64,32,relu,4,0.0025,256,adam,0.0015558442748484,0.0018832487053125,0.0014962181189929,480,489,486
65,32,relu,4,0.0025,256,sgd,0.0355851134278254,0.0365792760955549,0.0346109996572861,500,500,500
66,32,relu,4,0.0025,512,adam,0.0023047659743044,0.0023131298027503,0.0019091645032888,358,497,492
67,32,relu,4,0.0025,512,sgd,0.0728135326807841,0.0737592971055224,0.0721913848805514,500,500,500
68,32,relu,4,0.000625,256,adam,0.0024262531482572,0.0024268028420045,0.0023516816893118,493,500,494
69,32,relu,4,0.000625,256,sgd,0.1170375238184244,0.1452949253837093,0.1092798759069861,500,500,500
70,32,relu,4,0.000625,512,adam,0.0026905218778242,0.0035101858520936,0.0026119375059332,496,490,499
71,32,relu,4,0.000625,512,sgd,0.3552921066826078,0.3990110753068709,0.3338019071503106,500,500,500
72,32,relu,6,0.0025,256,adam,0.0009645409060971,0.0011840328251362,0.00086484622067,499,476,461
73,32,relu,6,0.0025,256,sgd,0.0410097169657924,0.041067318126111,0.0408346952163022,500,500,500
74,32,relu,6,0.0025,512,adam,0.0013613338074373,0.0015929586490863,0.001352688150234,426,498,465
75,32,relu,6,0.0025,512,sgd,0.0548120638683912,0.0554832435912078,0.0533084849682179,500,500,500
76,32,relu,6,0.000625,256,adam,0.0015620687563616,0.0020013930794583,0.0014518487673799,487,479,473
77,32,relu,6,0.000625,256,sgd,0.0719310188523002,0.0737490868854905,0.0705921221056221,500,500,500
78,32,relu,6,0.000625,512,adam,0.0021288106074068,0.0022348136483837,0.0020831504082946,489,497,493
79,32,relu,6,0.000625,512,sgd,0.1517264240179005,0.1520532719737406,0.1466921554288006,500,500,500
80,32,sigmoid,4,0.0025,256,adam,0.0071778462983441,0.0095817839533329,0.0050856512581009,500,500,500
81,32,sigmoid,4,0.0025,256,sgd,1.4133288742288297,1.5767063204062128,1.3987976978924523,4,500,4
82,32,sigmoid,4,0.0025,512,adam,0.0120027410292682,0.013247923274826,0.0112539698747034,500,500,500
83,32,sigmoid,4,0.0025,512,sgd,1.5381476728237349,1.6409174792801446,1.3414188857113,500,500,8
84,32,sigmoid,4,0.000625,256,adam,0.0603125023816236,0.0632613532784409,0.0545415197589357,500,500,500
85,32,sigmoid,4,0.000625,256,sgd,1.5437961310311057,1.6313368020254682,1.5294762769310344,500,56,500
86,32,sigmoid,4,0.000625,512,adam,0.0854726902921405,0.08896835182534,0.0844222694744238,500,500,500
87,32,sigmoid,4,0.000625,512,sgd,1.8152709482924148,1.8807618170151708,1.3650670960797022,500,500,500
88,32,sigmoid,6,0.0025,256,adam,0.0518658236631005,0.0524226380585533,0.0493496708434031,500,500,500
89,32,sigmoid,6,0.0025,256,sgd,1.5086899229543993,1.663101263704648,1.4646512352895693,5,6,3
90,32,sigmoid,6,0.0025,512,adam,0.062359536033205,0.0630546878171458,0.0591268000340465,500,500,500
91,32,sigmoid,6,0.0025,512,sgd,1.571399765715214,1.654033669779604,1.3340237650987303,492,498,6
92,32,sigmoid,6,0.000625,256,adam,0.0950692168175884,0.105128925178639,0.0766046995523695,500,500,500
93,32,sigmoid,6,0.000625,256,sgd,1.6377002821477415,1.7480477051692365,1.6280662740215404,62,318,60
94,32,sigmoid,6,0.000625,512,adam,0.1079334959949382,0.146609144684388,0.0879220262938549,500,500,500
95,32,sigmoid,6,0.000625,512,sgd,1.54631695833925,1.718317353930307,1.4725919962919911,25,134,184
